Audoux	O	O	O	-
-	O	O	O	-
Douce	B-PER	O	O	3
Lumiere	I-PER	O	O	-
Audoux	O	O	O	-
-	O	O	O	-
Douce	B-PER	O	O	3
Lumiere	I-PER	O	O	-
1	O	O	O	-
7	O	O	O	-
-	O	O	O	-
31	O	O	O	-
I	O	O	O	-
Depuis	O	O	O	-
son	B-PER	O	O	3
lever	O	O	O	-
,	O	O	O	-
tout	O	O	O	-
comme	O	O	O	-
les	O	O	O	-
autres	O	O	O	-
jours	O	O	O	-
,	O	O	O	-
elle	B-PER	O	O	3
joue	O	O	O	-
avec	O	O	O	-
son	B-PER	B-NO_PER	O	3
chien	O	E-NO_PER	O	-
.	O	O	O	-
Elle	B-PER	O	O	3
joue	O	O	O	-
à	O	O	O	-
courir	O	O	O	-
dans	O	O	O	-
le	B-FAC	O	O	35
verger	I-FAC	O	O	-
qui	B-FAC	O	O	35
entoure	O	O	O	-
la	B-FAC	O	O	39
très	I-FAC	O	O	-
vieille	I-FAC	O	O	-
maison	I-FAC	O	O	-
où	S-FAC	O	O	39
,	O	O	O	-
par	O	O	O	-
un	O	B-TIME	O	46
clair	O	I-TIME	O	-
matin	O	I-TIME	O	-
de	O	I-TIME	O	-
mai	S-TIME	E-TIME	O	50
,	O	O	O	-
sa	B-PER	O	O	3
venue	O	O	O	-
au	O	O	O	-
monde	O	O	O	-
apporta	O	O	O	-
aux	B-PER	O	O	57
siens	I-PER	O	O	-
l'	O	O	O	-
angoisse	O	O	O	-
,	O	O	O	-
le	O	O	O	-
deuil	O	O	O	-
et	O	O	O	-
un	O	O	O	-
désespoir	O	O	O	-
sans	O	O	O	-
limite	O	O	O	-
.	O	O	O	-
Aujourd'	B-TIME	O	O	70
hui	E-TIME	O	O	-
,	O	O	O	-
elle	B-PER	O	O	3
a	O	O	O	-
sept	B-TIME	O	O	75
ans	I-TIME	O	O	-
et	O	O	O	-
c'	O	O	O	-
est	O	O	O	-
encore	O	O	O	-
un	O	O	O	-
clair	O	O	O	-
matin	O	O	O	-
de	O	O	O	-
mai	S-TIME	O	O	85
.	O	O	O	-
Et	O	O	O	-
si	O	O	O	-
la	B-FAC	O	O	39
vieille	I-FAC	O	O	-
maison	I-FAC	O	O	-
reste	O	O	O	-
grise	O	O	O	-
et	O	O	O	-
triste	O	O	O	-
sous	O	O	O	-
les	O	O	O	-
rayons	O	O	O	-
du	O	O	O	-
frais	O	O	O	-
soleil	O	O	O	-
,	O	O	O	-
le	B-FAC	O	O	35
verger	I-FAC	O	O	-
brille	O	O	O	-
,	O	O	O	-
embaume	B-FAC	O	O	35
et	O	O	O	-
jette	B-FAC	O	O	35
au	O	O	O	-
vent	O	O	O	-
les	O	O	O	-
mille	O	O	O	-
et	O	O	O	-
une	O	O	O	-
fleurettes	O	O	O	-
qui	O	O	O	-
se	O	O	O	-
séparent	O	O	O	-
,	O	O	O	-
comme	O	O	O	-
à	O	O	O	-
regret	O	O	O	-
,	O	O	O	-
des	O	O	O	-
fruits	O	O	O	-
naissants	O	O	O	-
.	O	O	O	-
La	B-PER	O	O	3
fillette	I-PER	O	O	-
court	O	O	O	-
pieds	O	O	O	-
nus	O	O	O	-
,	O	O	O	-
tête	O	O	O	-
nue	O	O	O	-
,	O	O	O	-
bras	O	O	O	-
nus	O	O	O	-
,	O	O	O	-
n'	O	O	O	-
ayant	O	O	O	-
pour	O	O	O	-
tout	O	O	O	-
vêtement	O	O	O	-
qu'	O	O	O	-
une	O	O	O	-
souquenille	O	O	O	-
de	O	O	O	-
grosse	O	O	O	-
toile	O	O	O	-
toute	O	O	O	-
rongée	O	O	O	-
par	O	O	O	-
le	O	O	O	-
bas	O	O	O	-
,	O	O	O	-
et	O	O	O	-
dont	O	O	O	-
les	O	O	O	-
accrocs	O	O	O	-
mal	O	O	O	-
recousus	O	O	O	-
menacent	O	O	O	-
de	O	O	O	-
s'	O	O	O	-
ouvrir	O	O	O	-
,	O	O	O	-
au	O	O	O	-
moindre	O	O	O	-
effort	O	O	O	-
.	O	O	O	-
Elle	B-PER	O	O	3
court	O	O	O	-
le	O	O	O	-
long	O	O	O	-
de	O	O	O	-
la	O	O	O	-
haie	O	O	O	-
d'	O	O	O	-
aubépine	O	O	O	-
taillée	O	O	O	-
à	O	O	O	-
hauteur	O	O	O	-
d'	O	O	O	-
homme	O	O	O	-
et	O	O	O	-
aussi	O	O	O	-
impénétrable	O	O	O	-
qu'	O	O	O	-
un	O	O	O	-
gros	O	O	O	-
mur	O	O	O	-
.	O	O	O	-
Elle	B-PER	O	O	3
court	O	O	O	-
sous	O	O	O	-
les	O	O	O	-
arbres	O	O	O	-
,	O	O	O	-
les	O	O	O	-
contournant	O	O	O	-
l'	O	O	O	-
